name,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
water,7730.27,6898.56,7689.71,7390.51,6635.1,7222.51,7154.78,6707.32,7382.64,7730.27,7050.4,3759.98,6968.03,6749.56,3789.41,5296.79,619.449,2268.8,7430.81,6704.53,6819.41,6070.11,3112.51,3323.88,6327.58,7540.12,6753.67,772.32
water,7646.27,6919.33,6994.2,7192.89,6653.75,7061.2,6824.82,6698.21,7285.98,7114.89,6621.41,3427.75,5807.8,5916.17,5894.03,6476.28,463.37,2195.09,6993.31,6277.1,6207.79,5770.67,2604.47,3317.26,3117.27,7646.27,6280.85,742.587
forest,7881.27,7367.75,7690.27,1993.82,7881.27,716.304,7087.52,4649.9,1854.37,564.473,6818.08,4399.84,6367.98,5316.69,315.489,6046.67,2215.52,4803.05,7678.81,5980.37,926.372,6594.17,6888.89,491.851,4707.23,7280.67,2458.99,2182.91
farm,6331.24,5031.03,3779.6,3048.98,3715.2,3217.28,5640.24,433.619,3234.64,2690.09,4560.76,1613.88,6331.24,4561.78,1204.93,1021.51,2159.6,5095.43,6294.91,516.052,3841.43,3676.04,699.258,680.732,2366.39,4363.06,566.753,4316.78
farm,8380.68,5789.33,3107.91,3159.6,3061.87,2017.3,5987.8,2827.95,8380.68,6007.74,6686.07,2644.97,2888.21,370.496,1842.55,5070.31,1004.01,1875.3,1653.39,576.527,3725.28,2337.79,5211.4,3436.72,417.681,2763.33,1644.61,2395.66
forest,8428.58,3739.73,6431.53,2708.26,5649.92,4124.52,6183.31,6291.67,6820.06,7130.46,7319.86,648.875,7728.45,7753.44,8428.58,7451.65,672.547,5136.61,3946.96,6109.71,3358.29,5105.41,5584.88,1211.4,6190.81,7010.36,6191.35,463.009
grass,7544.14,7250.31,7544.14,7492.83,7533.83,7209.52,7357.76,2768.89,7157.76,6538.11,7117.89,1106.5,4760.21,5423.98,6035.72,2264.59,968.05,5405.1,6417.98,3313.8,5059.16,4888.07,1901.7,2479.47,1391.63,7275.17,2584.46,5644.86
forest,8188.69,7255.32,8143.88,8188.69,8061.21,690.441,7814.3,7254.2,911.146,707.585,7339.8,4718.58,3787.13,5934.08,316.715,6792.5,1611.43,2959.87,7881.11,5064.87,1453.96,7021.23,2879.07,587.301,3153.41,7750.38,2598.21,811.872
forest,8201.59,7854.15,897.253,3414.59,8201.59,374.098,617.614,1754.59,5992.41,1227.59,519.886,407.005,1114.46,304.214,1042.77,413.816,1417.04,2497.64,7720.29,2686.15,3580.52,2349.19,304.003,4204.54,285.432,7471.99,425.984,423.878
farm,6060.94,6060.94,5529.64,3639.8,4894.87,3433.57,3529.69,3794.98,1246.95,5643.78,2229.43,529.026,1570.17,2968.82,4974.79,2773.82,618.228,2666.98,4633.43,5750.89,3539.03,4959.8,5729.56,747.081,751.249,4874.86,1142.13,525.767
forest,7452.19,7410.93,7141.15,7332.76,7351.66,555.169,5239.28,6824.44,1519.15,5752.76,6993.13,2393.32,2711.93,5426.43,335.018,7136.64,1458.17,3962.1,7452.19,3613.32,3889.27,6245.44,4792.43,3882.43,1321.94,7095.15,7198.75,1885.88
farm,7877.87,2915.21,4952.13,541.08,3129.58,2375.33,7602.68,7667.67,7877.87,5263.1,2966.91,1394.58,3626.58,4144.39,1267.68,354.864,1304.42,4311.6,5074.71,4693.83,2713.91,3449.09,2467.32,1393.88,808.519,5506.95,646.295,1483.67
forest,7851.28,7421.44,7851.28,7752.96,6987.73,714.142,7619.86,7248.86,860.071,693.542,7350.61,4790.73,2416.46,6005.99,324.286,6098.96,2123.05,3690.45,7416.94,4620.74,704.791,6275.64,3311.37,640.277,1632.87,7217.46,1863.67,1308.96
forest,8140.36,7409.2,1332.45,805.225,4644.84,7212.37,3431.58,618.904,4035.96,504.049,8140.36,1106.82,751.124,816.431,1026.8,237.716,3976.09,668.964,3918.82,832.326,3733.16,2391.42,309.233,4122.46,260.393,7359.89,653.537,2037.54
forest,8013.55,7719.42,1551.15,1569.84,3864.54,779.329,4142.82,6029.11,505.268,590.76,8013.55,779.173,1570.17,484.903,766.731,385.126,3705.77,696.969,663.812,2124.04,3144.78,4551.42,478.04,6776.08,850.885,7500,1077.66,2285.38
forest,8061.45,7640.69,792.129,8061.45,7744.86,381.105,7645.7,1593.62,1400.43,701.15,642.524,1839.12,1852.14,364.116,665.968,504.969,1247.41,2552.57,967.475,6911.33,5356.89,4477.58,342.007,1630.16,423.133,6619.53,455.185,633.146
forest,7771.92,7607.35,7330.43,870.124,7191.46,760.914,6580.29,3619.93,7231.01,6594.95,5630.59,4652.49,1220.47,505.678,774.3,307.898,2249.94,1336.89,7417.73,1101.58,1772.89,4706.05,497.501,7390.24,912.58,5874.1,4366.62,7771.92
forest,8012.4,7773.1,955.334,6300.5,7528.61,368.564,7372.06,1250.21,8012.4,2916.8,7959.93,5338.29,519.829,1114.8,3139.17,7963.53,1887.51,3451.15,454.289,5717.06,1814.94,2285.17,1498.64,2515.19,576.898,6439.34,3119.34,576.055
forest,8044.6,7571.8,6365.85,1109.33,7537.8,690.88,7691.47,3309.35,8022.52,8044.6,7952.01,4605.93,2335.4,1051.44,921.884,435.541,3150.46,775.371,7267.24,6668.16,6278.97,2224.38,540.689,7794.29,7091.44,7519.58,5652.85,749.947
forest,8096.71,7489.02,701.134,3684.45,8096.71,2263.96,7281.42,366.723,4842.33,7702.36,7931.98,462.743,2002.79,452.096,1161.09,371.127,3065.32,1396.02,7552.52,6804.47,8020.05,5645.68,384.159,1267.96,371.773,7110.31,2549.67,4590.75
forest,8156.93,8156.93,522.488,7707.95,7530.85,1336.61,7446.71,516.894,3312.48,544.069,4825.58,4791.68,1038.5,1244.11,1263.17,5149.29,1260.85,7452.77,7578.95,1793.79,5706.64,6034.79,2650.88,1326.25,395.201,7148.75,434.629,7141.9
grass,7144.92,6301.96,6673.26,5299.09,5380.76,4868.43,6026.88,5057.74,5886.38,7144.92,6527.07,1988.31,3813.4,6164.37,6552.69,3174.53,885.554,3910.76,3162.03,3140.11,4120.64,1840.6,1517.55,869.049,921.698,6910.77,6683.74,3020.93
forest,8197.05,7390.12,7975,8197.05,7829.06,677.629,5096.78,5968.98,3560.85,1035.78,7188.74,6931.81,6617.3,5977.84,325.204,6084.66,2070.91,3966.34,7754.6,2850.75,4062.04,6919.79,4414.86,621.229,5901.16,7874.3,698.076,768.673
farm,7279.14,6005.49,5410.36,4051.79,3696.71,1401.31,2779.24,3502.76,3725.92,4626.27,3304.14,1671.4,2498.02,6211.41,7279.14,7041.08,956.762,1379.99,3067.73,5233.69,2578.38,938.926,2135.11,1920.26,3105.18,4558.05,5136.96,2289.62
farm,7807.77,3684.39,5356.98,4992.52,4534.91,558.755,5214.41,1613.22,7807.77,1315.3,3236.36,797.036,2518.96,2924.46,1343.68,2757.45,1391.33,2582.76,2771.29,1983.71,4699.96,3647.58,548.773,532.089,767.165,7306.81,723.997,2663.2
forest,7990.29,7139.58,7938.14,7990.29,7847.21,904.779,7706.29,6939.99,905.224,824.031,7282.11,4801.23,6576.87,5690.05,327.713,5536,1952.94,3404,7777.65,5058.13,835.047,6989.56,4834.91,543.094,5379.9,7702.83,610.37,652.166
forest,7791.61,7256.36,7730.5,7791.61,7291.33,1288.29,5035.53,6274.54,7326.71,2448.28,5976.9,4390.88,4146.06,4283.67,313.762,7467.74,1878.05,5426.82,7643.89,6767.79,7060.01,6562.95,2759.79,821.296,6448.62,6358.97,6469.08,585.837
forest,7985.96,7377.62,7965.1,7985.96,3731.66,4643.08,5176.22,6796.61,7964.97,1954.9,7777.29,7654.67,5639.58,5615.37,323.512,7398.53,1790.25,5485.46,7675.53,6781.31,6666.67,6546.18,1689.09,963.764,6970.89,3394.36,3536.87,569.442
forest,7500.25,3392.23,3335.04,551.513,3681.46,6079.85,7450.34,2912.17,554.8,388.002,7500.25,2783.07,2275.03,401.414,955.866,285.387,4429.04,738.707,4250.9,716.392,4789.38,769.62,314.367,933.069,753.772,6610.3,540.175,5673.88
forest,7568.72,7568.72,6944.43,6931.86,1267.75,377.439,7463.77,3341.15,6810.5,818.778,564.443,3516.99,1026.02,365.825,638.085,540.606,1112.25,2488.01,4744.94,6771.17,5877.79,1206.94,305.426,3727.02,512.7,6635.56,489.492,609.311
forest,7532.91,7250.55,6411.98,7132.22,5807.23,395.827,7532.91,6894.64,7353.32,2646.94,6944.18,4043.99,752.714,2208.64,1151.26,745.104,3160.32,3348.15,1194.95,860.418,2896.67,654.386,2786.99,1632.29,963.245,6442.97,1881.92,6735.14
forest,6879.71,6159.59,5330.98,3930.17,5401.51,706.353,2187.81,3844.35,3063.08,927.103,6603.49,3853.26,5511.04,5558.11,302.055,6879.71,2366.66,5486.59,6563.04,4211.76,539.287,3231.71,3386.55,566.534,4815.82,6255.84,1258.06,4043.49
forest,8097.2,4821.79,7872.22,8097.2,5684.27,342.89,821.56,7572.89,8070.17,1312.45,6969.06,1337.97,2865.19,1913.86,1380.93,990.668,1792.27,6029.33,2384.81,3932.06,601.538,4787.66,2321.03,2349.6,947.936,7759.31,835.418,2181.04
forest,7630.39,7134.77,7630.39,1679.88,7548.67,693.411,4465.48,4608.84,862.891,1068.08,6865.38,4821.29,5575.79,5591,303.434,4180.94,2756.45,5040.37,7623.19,6709.07,537.534,6507.22,5358.25,602.965,2999.15,7445.87,848.09,1696.91
forest,7664.71,7057.02,7664.71,7399.73,7503.61,5180.63,7022.42,5285.67,7042.59,5279.47,4895.71,3315.93,3805.23,5234.87,306.38,7120.52,1693.09,5249.06,7396.7,6702.62,4735.96,6290.17,2736.64,1236.44,5255.89,7200.06,7238.6,659.257
forest,5295.17,3876.68,2851.75,2788.95,2805.02,2296.86,4219.28,297.223,4404.76,1550.94,5295.17,2015.77,1762.03,1136.89,1348.44,290.524,4011.64,1981.12,4106.71,4060.58,893.421,411.582,550.248,3879.56,577.167,3728.83,4365.04,4159.29
forest,8044.61,1944.31,829.353,865.604,8044.61,253.289,5712.95,3983.54,6645.55,4556.74,7715.83,972.181,1152.7,329.374,2393.18,1346.44,1670.33,3675.43,1096.64,7166.58,1657.14,467.428,2342.1,6363.09,311.868,7611.98,1724.38,418.095
forest,7993.24,7215.42,7919.6,7993.24,6715.35,3952.83,5989.12,6925.62,7648.04,1036.17,7492.07,7394.34,5827.82,5906.12,325.534,7752.64,1740.15,5740.62,7686.29,6707.08,6585.95,6566.96,1495.25,993.235,6622.35,2030.6,2874.53,544.939
forest,7928.22,7067.52,7829.93,2963.04,7928.22,645.774,5331.82,5289.07,819.887,540.085,6631.22,4540.91,4338.24,5266.85,316.27,3152.97,2070.82,4583.07,7682.88,6654.07,488.264,6670.47,6187.88,406.739,2598.97,7129.88,948.937,1168.37
forest,8015.14,7843.25,485.703,2559.62,8015.14,360.65,473.933,816.479,7813.62,2147.73,609.41,247.353,4425.36,304.763,874.019,405.097,1373.28,1050.38,7775.29,3329.02,5527.25,7630.87,450.78,1083.63,346.698,7037.14,455.601,432.363
forest,7210.33,7210.33,3619.98,483.69,826.964,893.546,4352.62,4157.06,4669.54,2531.36,7007.27,3113,459.278,1026.46,1018.49,628.439,2362.24,1125.57,4957.68,4105.04,2563.16,1072.5,436.866,6036.15,4860.29,6358.19,927.159,6917.48
forest,6445.43,6346.28,6287.98,5187.9,6154.78,3589.53,4799.61,4645.42,6124.96,5154.86,5301.14,6412.56,2863.88,5680.33,306.736,5898.68,1831.53,5847.58,6445.43,3930.84,1144.13,4682.42,4182.61,822.459,3385.95,1828.4,3386.82,637.313
grass,5939.47,3654.92,3098.75,236.965,3021.65,709.353,3414.43,2398.31,1308.08,3217.93,3196.26,756.575,3739.48,621.53,1425.1,4552.64,641.903,1004.88,4516.2,3518.4,3673.57,564.532,326.217,1066.58,294.994,5939.47,4513,474.234
forest,8258.81,8089.66,1162.96,8258.81,8059.19,593.32,7933.95,5230.07,935.267,1294.62,7756.52,1619.73,1224.5,1626.58,2501.91,621.976,2396.34,5302.17,3507.11,7147.88,1252.62,4654.26,4767.2,526.619,1195.8,7642.22,403.03,714.523
forest,7793.43,6504.66,4452.53,7777.62,7605.38,378.332,7531.83,428.982,7691.07,1584.09,7793.43,348.337,2325.03,382.034,964.866,444.819,3190.96,1136.19,6920.37,3534.96,381.477,2932.29,578.273,7236.31,349.416,6806.78,1491.43,386.086
forest,6826.44,6826.44,6351.47,487.068,1051.69,852.356,5245.37,5117.05,5729.4,987.777,6300.87,6079.76,868.457,2342.25,2310.61,5099.46,667.123,3271.06,1471,4189.29,2896.58,4898.73,4987.73,935.594,2018.78,5441.71,500.118,1138.46
forest,8071.59,1723.68,7348.88,7845.02,2463.23,732.289,8071.59,2832.77,6261.75,4780.69,7600.71,2514.73,920.483,1152.94,710.307,463.592,4275.47,2063.45,7721.83,3019.99,609.805,7542.75,803.237,2422.63,691.073,6977.32,1596.41,1315.03
forest,7290.91,5722.96,1708.18,7290.91,6523.73,3764.54,3006.89,289.027,4004.93,3698.69,4675.4,1067.03,1151.52,1660.42,1604.9,394.217,3150.88,2158.06,5329.9,5651.12,1670.6,6690.65,850.122,6148.56,2377.28,4321.15,3699.98,710.88
forest,3048.71,1176.18,567.467,384.638,3048.71,358.428,511.079,794.918,322.804,2345.41,321.376,1337.09,2292.68,454.973,1132.03,261.091,2356.91,850.858,1514.37,772.186,1307.67,437.207,323.418,511.496,923.501,1369.17,906.459,918.186
forest,8002.22,7244.76,7783.89,7973.21,7808,950.512,4333.58,6248.31,5470.7,1358.25,7145.68,5208.63,6633.96,5603.63,324.585,6340.79,3366.11,4551.47,7636.93,3822.3,5691.64,6719.04,5876.18,950.823,6270.09,8002.22,701.404,702.539
forest,8128.48,1674.96,2376.95,327.592,1251.36,679.353,1503.2,485.075,6501.57,1601.9,8128.48,857.077,528.249,542.851,889.56,584.825,2486.24,3610.39,5756.76,623.783,3049.65,3389.5,375.233,424.356,735.184,7554.79,910.62,1395.39
grass,7715.72,7429.94,7497.97,5940.09,2348.35,750.562,7567.41,1923.16,7651.7,7545.54,7715.72,1409.7,5917,3878.5,6096.65,1487.99,675.8,4708.02,1848.4,882.38,5382.1,6004.82,3174.03,2024.44,887.729,7284.44,3646.1,4517.94
farm,8055.29,6773.89,3594.9,3611.76,2580.55,652.265,3537.72,2495.12,7546.23,4070.12,1510.08,1986.11,2743.6,2106.34,2703.15,6714.17,1030.59,4759.57,3070.41,218.125,2595.09,2785.15,2762.37,458.932,318.917,8055.29,476.778,4037.97
farm,7926.24,7566.04,4938.75,426.317,2946.74,990.14,4550.74,5328.75,4624.43,5009.75,4924.03,449.155,2281.92,712.469,599.549,31.5732,738.801,7018.03,7819.69,6994.33,7587.59,6195.67,4750.72,1310.37,601.515,7657.94,518.781,7926.24
forest,7625.45,7449.2,7004.16,6935.61,7065.88,6992.97,7225.99,919.72,5205.51,1150.35,7536.25,7481.17,5890.55,429.27,1224.8,281.701,3857.75,1627.26,6816.24,5956.41,551.475,4343.95,346.428,6986.97,473.372,6826.89,1849.78,7625.45
forest,8039.84,6427.62,6850.19,2406.96,6119.6,761.055,5551.3,6945.38,606.7,1059.7,7602.51,7415.46,5850.71,6046.41,305.44,4141.53,2623.49,4637.33,7610.01,5328,855.435,6690.25,4524.27,599.329,2192.71,8039.84,1101.36,861.655
impervious,6453.24,6453.24,893.742,3150.88,3329.75,2278.51,3751.46,3895.81,1074.35,5387.24,6239.25,898.362,3489.13,1475.79,4240.78,576.027,1966.15,1791.64,6118.15,969.32,5894.99,1209.53,1347.96,408.108,330.706,4028.65,3371.78,5546.93
forest,8318.86,7625.15,8062.23,7846.27,8073.36,4372.23,6523.69,7368.3,8066.58,5742.11,7886.36,6765.51,3469.96,6610.55,318.135,8021.92,2211.24,6284.09,7874.19,4982.25,4665.22,6970.31,1497.03,786.364,6789.75,8318.86,2136.26,601.478
forest,7673,4453.78,6916.63,7673,7510.83,287.507,7157.2,6724.57,1130.35,2672.95,6733.4,1345.75,1466,1625.03,1266.6,761.991,2021.19,2826.71,652.213,1917.05,291.861,4741.52,320.609,6947.89,2256.01,6256.65,681.798,3401.2
forest,7913.26,7464.71,7585.39,7603.31,7530.13,535.413,7562.48,4474.96,7396.56,1632.25,7288.14,2735.94,6112.2,6317.3,301.872,7913.26,1966.39,5631.46,7824.79,7094.07,461.352,6974.88,1536.47,667.891,5367.1,7856.8,2400.32,7855.94
forest,7649.15,6417.77,1382.28,1063.99,6737.65,254.943,2528.28,963.58,4915.5,7362.03,7388.53,7229.55,3729.71,411.467,2273.72,1924.17,1464.75,4385.63,7169.17,2463.16,2116.88,393.889,959.617,7649.15,283.537,6935.96,5736.49,849.341
forest,7946.51,4900.85,7790.8,6245.84,2160.78,7264.54,2191.71,7172.92,7777.92,6979.52,7946.51,1771.78,1594.71,5880.47,1769.76,622.001,1224.9,6400.2,7229.84,5336.19,1392.31,3288.8,1040.98,6656.91,1522.86,6730.93,3184.18,7663.45
impervious,1763.9,1349.5,1763.9,223.891,1185.64,1085.27,658.795,1333.8,871.428,1301.63,1354.12,501.143,843.138,679.413,834.037,1045.4,635.833,1208.89,668.061,1525.13,1446.12,526.134,359.072,353.907,252.689,1009.97,724.412,475.442
forest,7977.09,7492.01,7957.97,7977.09,7860.66,3271.08,5820.74,6154.96,7601.23,6361.29,6168.06,7015.68,3038.66,5763.32,308.726,7687.72,2212.99,6225.98,7633.49,3088.28,4588.55,6494.15,3083.22,676.843,5287.08,7484.91,6433.16,661.92
forest,8052.17,7236.37,8052.17,8045.58,7851.74,6114.36,7015.95,6888.51,7591.5,6385.54,7269.61,4572.64,4024.97,5597.78,312.745,5398.6,1882.63,5274.16,7602.6,7063.33,6742.97,6803.85,2944.72,806.523,6045.13,3997.4,7692.35,908.393
forest,8112.74,7786.13,1842.08,1293.44,8112.74,613.663,5232.88,1129.61,7842.31,4618.94,545.299,214.813,3030.55,408.648,1310.49,526.586,1499.18,1823.49,7977.92,7446.48,1882.54,811.067,401.199,392.528,406.585,6963.97,637.227,908.891
farm,6472.45,5814.5,6038.69,3039.98,5894.46,3776.92,6472.45,6344.92,6442.51,5784.69,1569.75,3610.22,2136.01,1605.53,1772.64,557.995,936.956,6057.97,5366.89,4619.61,4478.16,4459.37,2298.72,1074.74,483.964,4418.6,353.608,1594.82
forest,8244.81,1286.51,8078.43,8244.81,7411.84,377.707,620.746,7656.22,7825.66,1452.58,6982.82,1182.26,2680.63,1635.77,1218.38,546.611,1725.57,4016.31,2585.56,7232.69,715.493,3990.43,2017.42,3868.86,797.578,7643.49,808.752,7421.75
forest,7941.78,6922.23,1530.76,7941.78,1645.69,354.818,4738.02,5133.84,4743.46,7108.76,6833.96,4111.46,635.519,2627.44,979.413,835.09,3398.66,1714.85,1537.68,925.611,977.55,6223.01,976.23,6551.43,2299.26,5047.4,2583.34,5552.16
forest,7643.67,6740.19,7622.33,7643.67,3584.6,1384.94,7345.3,6708.24,7574.46,922.107,7072.85,7345.73,6073.18,5270.62,323.906,7626.77,1865.11,5195.86,7343.73,6283.88,6833.77,6282.08,2384.75,751.11,6413.42,1770.69,1526.29,449.307
grass,7779.3,6894.76,7201.82,5044.69,4212.45,686.783,7476.78,5766.46,7624.27,7779.3,7685.41,1030.78,4165.59,5888.34,5300.39,1924.15,705.022,5282.14,6911.24,2235.59,5838.7,5895.67,4934.34,2474.65,756.805,7228.31,5465.05,6395.8
farm,6828.32,6828.32,3303.41,4544.99,4519.63,677.667,4112.82,5103.49,6617.98,3427.63,519.36,764.124,1814.91,329.185,1241.11,859.473,980.2,4149.8,3647.11,1447.46,5182.29,4796.15,1462.25,1516.71,955.773,6203.46,363.153,5479.3
forest,8346.94,8038.94,5158.09,8211.38,8346.94,357.377,2253.79,7998.18,603.583,522.536,8125.82,1272.65,884.402,302.118,3097.22,3103.83,1986.42,2745.45,518.168,5050.07,1117.38,6713.6,2063,649.863,1218.52,7663.22,881.956,1473.04
forest,4441.02,3136.7,2433.27,2879.52,3181.62,3118.64,3415.23,3078.84,3270.48,3023.26,3488.19,450.168,3023.45,2807.69,2487.54,2361.27,441.994,582.544,1478.15,1794.53,1861.58,1729.99,409.535,414.994,354.895,4441.02,563.713,747.289
farm,7678.91,6030.59,7036.74,6464.54,5948.08,381.02,5140.4,4975.46,6311.03,811.081,860.464,6786.52,1132.41,1146.59,1969.08,5765.58,917.199,6862.14,7625.51,6271.55,7678.91,1107.33,1095.13,2101.04,929.84,7188.32,701.816,7048.53
forest,7958.68,6616.68,745.089,7294.08,3066.79,556.465,7277.39,6428.91,7292.43,1015.24,7958.68,7134.82,902.035,354.12,4048.89,6400.98,2558.76,3600,623.416,3366.69,2448.33,2482.41,2451.29,4755.8,485.843,7103.23,1302.26,773.988
impervious,1637.2,1624.55,569.257,250.711,1637.2,1232.64,1256.15,1166.69,400.995,1052.55,1094.09,427.103,732.221,860.07,1095.68,1353.15,931.768,645.846,1455.34,1343.94,1567.77,428.516,305.688,361.105,304.46,1022.71,648.668,355.687
forest,7637.02,7289.41,1093.61,7637.02,7573.19,485.313,6350.15,5629.83,2430.72,725.562,5389.03,493.427,2392.06,696.719,509.071,726.12,1954.17,1341.9,1060.11,7049.74,945.593,6038.67,224.458,5713.09,509.205,6845.12,883.125,789.414
forest,8539.71,8039.78,1663.74,8539.71,8455.25,306.703,5870.77,362.657,8053.7,1368.07,463.186,413.789,1309.29,527.977,855.655,457.292,1391.58,3529.12,1571.68,806.25,1971.16,7213.64,350.788,7986.83,560.569,7535.19,318.137,1291.19
grass,6912.78,2511.04,3513.03,2344.89,6379.89,4202.98,5405.64,4680.28,2611.52,1531.63,3417.44,1936.61,3719,4372.22,6912.78,2684.36,820.881,3041.72,2675.85,5335.41,1245.15,1460.72,1394.92,812.173,677.947,1680.32,2794.47,4217.82
forest,7795.56,7721.54,724.537,6212.95,6960.23,7628.24,3485.26,2790.46,7795.56,1891.65,7595.58,1222.9,866.654,788.863,1078.32,731.649,3457.41,991.796,7570.73,1386.26,6622.6,5782.74,351.216,3847,2579.77,7072.19,454.816,5874.15
forest,8264.77,7845.55,1126.98,328.833,5752.66,1910.14,978.391,6185.1,8264.77,5788.67,7284.46,733.928,1017.95,2826.04,6675.16,1129.63,1127.6,3067.22,7707.65,6686.58,8137.15,3966.14,4050.59,911.041,598.948,8239.48,518.534,1344.72
forest,7368.71,6245.91,7203.64,6409.63,6122.94,177.236,4883.38,6005.04,3613.04,777.576,5692.07,4874.54,5510.67,1004.76,621.531,483.592,2563.1,3502.3,1697.71,6787.99,723.329,6171.69,392.015,1300,2050.42,6297.5,825.548,7368.71
forest,7995.61,7731.2,510.713,7224.75,7995.61,258.024,844.477,509.599,2624.57,568.222,328.998,289.853,2154.81,360.179,897.268,298.765,1116.48,1256.7,444.102,6657.17,7921.3,1615.38,307.454,908.622,348.571,6715.74,265.086,434.703
forest,7692.63,7692.63,4926.62,456.306,1298.4,384.826,7592.6,1371.61,522.801,4456.78,4145.93,462.312,1110.58,518.226,1927.05,1392.79,2196.49,6714.82,1499.33,2263.12,7555.88,2663.48,2288.58,284.093,291.618,2501.59,896.812,494.721
forest,8403.43,8034.43,409.064,8403.43,7726.28,216.005,6062.45,6405.56,1119.26,428.163,5289.84,2247.49,594.152,281.489,2342.34,1856.67,1783.68,3827.84,997.562,7692.31,1271.89,1026.62,2930.89,6009.29,3557.47,7493.46,658.905,734.771
farm,7544.85,7018.61,5104.59,3281.19,4527.78,2408.8,3159.24,3356.33,4019.09,4280.18,4667.6,991.023,6851.37,7271.88,5637.9,6903,649.749,2933.88,7544.85,6804.05,2040.53,3674.47,3861.72,186.225,1067.63,5235.76,4056.42,478.307
forest,8233.85,7952.59,1036.43,8233.85,5923.51,4171.54,8170.45,1650.32,418.645,7722.3,6525.69,303.898,1887.32,1004.97,3342.35,517.666,1017.84,6612.69,7050.95,7372.43,7046.49,469.106,3160.7,992.704,1426.31,8185.47,1601.14,2816.55
forest,7844.88,7844.88,824.644,589.453,5867.43,1410.53,817.126,7117.8,7676.14,2085.66,1877.2,644.287,1074.79,1315.29,3581.29,2114.03,1237.55,1934.39,1843.59,3332.53,6730.11,415.25,2190.1,4484.59,424.884,7843.07,605.434,2042.48
forest,7826.35,7266.72,701.754,1254.97,2544.68,419.584,7332.03,737.42,726.865,7642.1,7826.35,2211.4,1495.49,368.62,2130.74,618.346,2047.84,3392.93,587.299,5579.85,1518.71,6681.61,2870.17,1252.81,299.906,7487.39,1166.65,4284.66
impervious,7675.54,7063.11,4465.02,6419.82,6191.86,5928.93,6116.88,6054.47,5637.3,7390.46,5697.22,1363.36,3926.38,2420.35,2742.95,2589.46,1358.46,1656.24,6266.55,2801,4624.06,562.304,1119.08,2007.03,440.027,7272.73,6102.9,7675.54
farm,7808.44,4866.87,3713.27,1698.76,1504.6,896.304,7808.44,4846.42,4064.61,848.082,773.276,-616.181,2449.6,1335.36,676.639,2811.83,1024.72,2946.48,3529.76,1875.24,3307.2,5859.5,4513.3,682.267,335.832,2824.2,1699.33,662.373
forest,7815.76,7040.78,7815.76,5614.19,7693.54,378.14,6465.33,7403.89,4366.04,6896.91,6270.72,4427.01,934.729,5101.34,810.03,1543.89,3259.31,5099.23,3778.08,995.117,1048.33,3639.37,370.277,3295.94,5334.97,6487.07,2444.71,6960.13
grass,6719.44,3996.67,3284.71,3070.16,2984.61,2328.73,3075.45,3423.59,2615.88,1096.93,3029.68,1458.14,4764.19,2068.92,6719.44,2040.15,719.199,2087.84,479.085,5204.13,3144.59,738.569,1315.5,1300.52,1525.91,3817.34,4083.29,1180.65
forest,7176.27,7176.27,334.533,6732.95,2936.79,334.32,320.585,1129.44,1728.54,1377.14,446.581,339.073,1692.9,410.154,1227.93,550.127,1469.54,4450.22,527.877,6344.68,687.361,2982.82,334.167,1247.33,834.145,6626.46,408.997,741.899
forest,8016.72,7522.83,916.893,7999.65,7858.14,1772.01,7282.25,5061.73,1818.3,8005.44,7897.83,353.039,4869,1432.87,1134.72,192.041,1550.02,2160.81,5713.32,7011.49,8016.72,3193.23,1856.17,532.22,2133.24,8016.04,7661.11,4320.37
forest,7735.58,7735.58,7309.33,738.791,2769.35,381.024,5830.06,1299.56,851.891,3143.89,1625.96,419.496,1003.71,918.088,2310.92,1000.45,2216.1,6689.4,554.363,4934.46,3315.17,509.658,1483.71,318.999,303.594,6306.95,798.871,589.685
forest,8268.97,7068.14,5805.19,1635.33,3193.39,495.705,7929.41,4894.07,8044.02,8268.97,8091.13,6952.6,7998.39,427.375,3823.14,847.478,1548.72,5600.43,7280.09,5694.54,2075.29,590.118,862.789,1141.97,206.92,7479.69,7976.15,760.791
forest,7943.69,7774.81,7855.38,370.844,1993.89,278.452,1616.64,3735.31,4598.94,883.632,1106.19,382.93,606.813,418.133,1418.57,450.757,1545.69,6275.2,1553.63,1784.6,7879.22,563.061,886.718,492.419,306.096,7943.69,488.055,592.998
forest,8151.28,7652.98,824.872,4144.2,6107.13,1177.53,1149.71,7211.65,8078.09,1801.52,1961.39,925.529,836.949,645.156,4605.2,1390.44,1026.17,1545.63,7675.86,6418.48,8151.28,5783.84,3356.32,1002.16,471.888,8142.32,548.504,2300.73
farm,7188.72,6202.47,3659.66,3470.12,5979.43,659.974,6531.11,345.07,7188.72,624.79,459.191,347.269,501.79,828.738,677.647,4492.26,2348.4,4061.08,1232.85,4499.6,432.925,4674.93,315.821,2726.8,596.835,6105.16,969.503,5215.63
